1A02: [['Q13469', 'P01100'], ['Q13469', 'P05412'], ['P01100', 'P05412']]
2NUP: [['Q15436', 'O95486'], ['Q15436', 'O75396'], ['O95486', 'O75396']]
2NUT: [['Q15436', 'O95486'], ['Q15436', 'O75396'], ['O95486', 'O75396']]
2NXY: [['P01730', 'Q6P5S8'], ['P01730', 'Q6N095'], ['Q6P5S8', 'Q6N095']]
2NY1: [['P01730', 'Q6P5S8'], ['P01730', 'Q6N030'], ['Q6P5S8', 'Q6N030']]
2NY3: [['P01730', 'Q6N030'], ['P01730', 'Q6P5S8'], ['Q6N030', 'Q6P5S8']]
2NY6: [['P01730', 'Q6P5S8'], ['P01730', 'Q6N030'], ['Q6P5S8', 'Q6N030']]
2NYL: [['P30153', 'Q13362'], ['P30153', 'P67775'], ['Q13362', 'P67775']]
2NYM: [['P30153', 'Q13362'], ['P30153', 'P67775'], ['Q13362', 'P67775']]
2O6V: [['P0CG48', 'P0CG48'], ['P0CG48', 'P0CG48'], ['P0CG48', 'P0CG48']]
2OYH: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2OYI: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2P5E: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
2P5W: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
2PJY: [['P10600', 'P36897'], ['P10600', 'P37173'], ['P36897', 'P37173']]
2PKS: [['P00734', 'P00734'], ['P00734', 'P00734'], ['P00734', 'P00734']]
2PO6: [['P15813', 'P61769'], ['P15813', 'P01848'], ['P61769', 'P01848']]
2PUQ: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2PYE: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
2Q6W: [['P01903', 'P79483'], ['P01903', 'P05106'], ['P79483', 'P05106']]
2Q9I: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2QAG: [['Q15019', 'Q14141'], ['Q15019', 'Q16181'], ['Q14141', 'Q16181']]
2QFA: [['O15392', 'Q53HL2'], ['O15392', 'Q9NQS7'], ['Q53HL2', 'Q9NQS7']]
2QKI: [['P01024', 'P01024'], ['P01024', 'P01024'], ['P01024', 'P01024']]
2SEB: [['P01903', 'P01911'], ['P01903', 'P02458'], ['P01911', 'P02458']]
2UWE: [['P04439', 'P61769'], ['P04439', 'Q9NPA0'], ['P61769', 'Q9NPA0']]
2UXN: [['O60341', 'Q9UKL0'], ['O60341', 'P68431'], ['Q9UKL0', 'P68431']]
2V1D: [['O60341', 'Q9UKL0'], ['O60341', 'Q16695'], ['Q9UKL0', 'Q16695']]
2VDO: [['P08514', 'P05106'], ['P08514', 'P02679'], ['P05106', 'P02679']]
2VDP: [['P08514', 'P05106'], ['P08514', 'P02679'], ['P05106', 'P02679']]
2VDQ: [['P08514', 'P05106'], ['P08514', 'P02679'], ['P05106', 'P02679']]
2VDR: [['P02679', 'P08514'], ['P02679', 'P05106'], ['P08514', 'P05106']]
2VPG: [['Q9Y3Y4', 'O00512'], ['Q9Y3Y4', 'P68431'], ['O00512', 'P68431']]
2W2M: [['Q8NBP7', 'P01130'], ['Q8NBP7', 'Q8NBP7'], ['P01130', 'Q8NBP7']]
2W2N: [['Q8NBP7', 'P01130'], ['Q8NBP7', 'Q8NBP7'], ['P01130', 'Q8NBP7']]
2W2O: [['Q8NBP7', 'P01130'], ['Q8NBP7', 'Q8NBP7'], ['P01130', 'Q8NBP7']]
2W2P: [['P01130', 'Q8NBP7'], ['P01130', 'Q8NBP7'], ['Q8NBP7', 'Q8NBP7']]
2W2Q: [['P01130', 'Q8NBP7'], ['P01130', 'Q8NBP7'], ['Q8NBP7', 'Q8NBP7']]
2W2X: [['P15153', 'P16885'], ['P15153', 'P16885'], ['P16885', 'P16885']]
2W72: [['P69905', 'P68871'], ['P69905', 'P69905'], ['P68871', 'P69905']]
2W97: [['P06730', 'P06730'], ['P06730', 'Q04637'], ['P06730', 'Q04637']]
2WBY: [['P14735', 'P01308'], ['P14735', 'P01308'], ['P01308', 'P01308']]
2WC0: [['P14735', 'P01308'], ['P14735', 'P01308'], ['P01308', 'P01308']]
2WII: [['P01024', 'P01024'], ['P01024', 'P08603'], ['P01024', 'P08603']]
2WIN: [['P01024', 'P01024'], ['P01024', 'P00751'], ['P01024', 'P00751']]
2WNU: [['P02745', 'P02746'], ['P02745', 'P02747'], ['P02746', 'P02747']]
2WNV: [['P02745', 'P02746'], ['P02745', 'P02747'], ['P02746', 'P02747']]
2WS6: [['P01308', 'P01308'], ['P01308', 'P01308'], ['P01308', 'P01308']]
2WTK: [['Q9Y376', 'Q7RTN6'], ['Q9Y376', 'Q15831'], ['Q7RTN6', 'Q15831']]
2X0L: [['O60341', 'Q9UKL0'], ['O60341', 'P68431'], ['Q9UKL0', 'P68431']]
2XNX: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2XNY: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2XPG: [['P04439', 'P61769'], ['P04439', 'P60201'], ['P61769', 'P60201']]
2XQN: [['Q9Y615', 'Q8N8S7'], ['Q9Y615', 'Q9UGI8'], ['Q8N8S7', 'Q9UGI8']]
2XWJ: [['P01024', 'P01024'], ['P01024', 'P00751'], ['P01024', 'P00751']]
2Y48: [['O60341', 'Q9UKL0'], ['O60341', 'O95863'], ['Q9UKL0', 'O95863']]
2Z4E: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2ZME: [['Q96H20', 'Q86VN1'], ['Q96H20', 'Q9BRG1'], ['Q86VN1', 'Q9BRG1']]
2ZP0: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2ZWL: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2ZZU: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
3A1J: [['Q99638', 'O60921'], ['Q99638', 'O60671'], ['O60921', 'O60671']]
3B3I: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
3B9F: [['P00734', 'P00734'], ['P00734', 'Q9N2I2'], ['P00734', 'Q9N2I2']]
3BEF: [['P00734', 'P00734'], ['P00734', 'P25116'], ['P00734', 'P25116']]
3BP4: [['P61769', 'P10619'], ['P61769', 'P01889'], ['P10619', 'P01889']]
3BP7: [['P01889', 'P61769'], ['P01889', 'P10619'], ['P61769', 'P10619']]
3BPL: [['P05112', 'P24394'], ['P05112', 'P31785'], ['P24394', 'P31785']]
3BPN: [['P05112', 'P24394'], ['P05112', 'P78552'], ['P24394', 'P78552']]
3BPO: [['P35225', 'P24394'], ['P35225', 'P78552'], ['P24394', 'P78552']]
3BPS: [['Q8NBP7', 'Q8NBP7'], ['Q8NBP7', 'P01130'], ['Q8NBP7', 'P01130']]
3BT1: [['P00749', 'P04004'], ['P00749', 'Q03405'], ['P04004', 'Q03405']]
3BT2: [['P00749', 'P04004'], ['P00749', 'Q03405'], ['P04004', 'Q03405']]
3BVH: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
3C5J: [['P01903', 'B8YAC7'], ['P01903', 'Q05639'], ['B8YAC7', 'Q05639']]
3C5W: [['P30153', 'P67775'], ['P30153', 'Q9Y570'], ['P67775', 'Q9Y570']]
3CHN: [['P01876', 'P01833'], ['P01876', 'P01833'], ['P01833', 'P01833']]
3CUQ: [['Q96H20', 'Q86VN1'], ['Q96H20', 'Q9BRG1'], ['Q86VN1', 'Q9BRG1']]
3D2U: [['P61769', 'Q8NHL6'], ['P61769', 'P60709'], ['Q8NHL6', 'P60709']]
3D3V: [['P04439', 'P61769'], ['P04439', 'P01850'], ['P61769', 'P01850']]
3D85: [['P01857', 'Q9NPF7'], ['P01857', 'P29460'], ['Q9NPF7', 'P29460']]
3DBH: [['Q13564', 'Q8TBC4'], ['Q13564', 'Q15843'], ['Q8TBC4', 'Q15843']]
3DBL: [['Q13564', 'Q8TBC4'], ['Q13564', 'Q15843'], ['Q8TBC4', 'Q15843']]
3DBR: [['Q13564', 'Q8TBC4'], ['Q13564', 'Q15843'], ['Q8TBC4', 'Q15843']]
3DQV: [['Q15843', 'Q93034'], ['Q15843', 'P62877'], ['Q93034', 'P62877']]
3DVG: [['Q6PIL8', 'P0CG48'], ['Q6PIL8', 'P0CG48'], ['P0CG48', 'P0CG48']]
3DVN: [['Q6PIL8', 'P0CG48'], ['Q6PIL8', 'P0CG48'], ['P0CG48', 'P0CG48']]
3DW8: [['P30153', 'P63151'], ['P30153', 'P67775'], ['P63151', 'P67775']]
3DXA: [['P01889', 'P61769'], ['P01889', 'P01848'], ['P61769', 'P01848']]
3E1I: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
3EGD: [['Q15436', 'O95486'], ['Q15436', 'O75396'], ['O95486', 'O75396']]
3EGX: [['Q15436', 'O95486'], ['Q15436', 'O75396'], ['O95486', 'O75396']]
3ELA: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
3EXH: [['P08559', 'P11177'], ['P08559', 'P08559'], ['P11177', 'P08559']]
3FEX: [['Q09161', 'P52298'], ['Q09161', 'P52292'], ['P52298', 'P52292']]
3FEY: [['Q09161', 'P52298'], ['Q09161', 'P52292'], ['P52298', 'P52292']]
3FFC: [['P01889', 'P61769'], ['P01889', 'P01850'], ['P61769', 'P01850']]
3FGA: [['Q13362', 'P67775'], ['Q13362', 'Q5FBB7'], ['P67775', 'Q5FBB7']]
3G65: [['Q99638', 'O60671'], ['Q99638', 'O60921'], ['O60671', 'O60921']]
3GCW: [['Q8NBP7', 'Q8NBP7'], ['Q8NBP7', 'P01130'], ['Q8NBP7', 'P01130']]
3GCX: [['Q8NBP7', 'Q8NBP7'], ['Q8NBP7', 'P01130'], ['Q8NBP7', 'P01130']]
3GGR: [['Q99638', 'O60921'], ['Q99638', 'O60671'], ['O60921', 'O60671']]
3GHG: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
3GIS: [['P00734', 'P00734'], ['P00734', 'P07204'], ['P00734', 'P07204']]
3GSN: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
3GZN: [['Q13564', 'Q8TBC4'], ['Q13564', 'Q15843'], ['Q8TBC4', 'Q15843']]
3H0A: [['P19793', 'P37231'], ['P19793', 'Q15788'], ['P37231', 'Q15788']]
3H32: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
3HKJ: [['P00734', 'P00734'], ['P00734', 'P25116'], ['P00734', 'P25116']]
3HPJ: [['P04439', 'P61769'], ['P04439', 'P19544'], ['P61769', 'P19544']]
3HUS: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
3J9F: [['P15151', 'P15151'], ['P15151', 'P15151'], ['P15151', 'P15151']]
3JVZ: [['P62837', 'Q96PU5'], ['P62837', 'P0CG48'], ['Q96PU5', 'P0CG48']]
3JW0: [['P62837', 'Q96PU5'], ['P62837', 'P0CG48'], ['Q96PU5', 'P0CG48']]
3KCG: [['P00740', 'P00740'], ['P00740', 'P01008'], ['P00740', 'P01008']]
3KFD: [['P01137', 'P37173'], ['P01137', 'P36897'], ['P37173', 'P36897']]
3KLA: [['P04439', 'P61769'], ['P04439', 'P78358'], ['P61769', 'P78358']]
3KYC: [['Q9UBT2', 'P63165'], ['Q9UBT2', 'Q9UBE0'], ['P63165', 'Q9UBE0']]
3KYD: [['Q9UBE0', 'Q9UBT2'], ['Q9UBE0', 'P63165'], ['Q9UBT2', 'P63165']]
3L3O: [['P01024', 'P01024'], ['P01024', 'P01024'], ['P01024', 'P01024']]
3L6F: [['P01903', 'P01911'], ['P01903', 'Q16655'], ['P01911', 'Q16655']]
3LL8: [['P24588', 'Q08209'], ['P24588', 'P63098'], ['Q08209', 'P63098']]
3LN4: [['P01889', 'P61769'], ['P01889', 'P07910'], ['P61769', 'P07910']]
3LN5: [['P01889', 'P61769'], ['P01889', 'Q13126'], ['P61769', 'Q13126']]
3LU9: [['P00734', 'P00734'], ['P00734', 'P25116'], ['P00734', 'P25116']]
3LV3: [['P01889', 'P61769'], ['P01889', 'Q01668'], ['P61769', 'Q01668']]
3M0C: [['Q8NBP7', 'Q8NBP7'], ['Q8NBP7', 'P01130'], ['Q8NBP7', 'P01130']]
3M0D: [['Q12933', 'Q13077'], ['Q12933', 'Q13489'], ['Q13077', 'Q13489']]
3MOP: [['Q99836', 'Q9NWZ3'], ['Q99836', 'O43187'], ['Q9NWZ3', 'O43187']]
3MRK: [['P04439', 'P61769'], ['P04439', 'P02771'], ['P61769', 'P02771']]
3MRO: [['P04439', 'P61769'], ['P04439', 'Q16655'], ['P61769', 'Q16655']]
3MRP: [['P04439', 'P61769'], ['P04439', 'Q16655'], ['P61769', 'Q16655']]
3MRQ: [['P04439', 'P61769'], ['P04439', 'Q16655'], ['P61769', 'Q16655']]
3MRR: [['P04439', 'P61769'], ['P04439', 'Q92959'], ['P61769', 'Q92959']]
3MYJ: [['P04439', 'P61769'], ['P04439', 'P19544'], ['P61769', 'P19544']]
3NBN: [['Q92585', 'Q06330'], ['Q92585', 'P46531'], ['Q06330', 'P46531']]
